endpoint,cycle_len,method,min_edge_support_bucket,min_node_degree_bucket,n,mean_abs_closure,std_abs_closure,median_abs_closure,mean_signed_closure
EC50,4,gauge_selector_micro,01_1_4,02_10_99,9735,0.3730569881897337,0.42413432604020734,0.23398430294772252,-0.04905243649016309
EC50,4,gauge_selector_micro,02_5_19,01_1_9,1515,0.1005677421908355,0.10935526631740995,0.04949691441057302,0.019066634405195185
EC50,4,gauge_selector_micro,02_5_19,02_10_99,35,0.29868744876681896,0.10938587679640105,0.2956295159523758,-0.057715755560916716
EC50,4,gauge_selector_micro,03_20_99,01_1_9,256,0.11312466704338639,0.10432563018662455,0.11918755744645795,0.006080511169779424
EC50,4,gauge_selector_micro,03_20_99,02_10_99,252,0.13412023226140618,0.039426442118140316,0.1320666181398278,-0.03233795289163128
EC50,4,gauge_selector_micro,04_100plus,01_1_9,329,0.002486330515833121,0.0034112701138578386,0.0008071763753931815,-0.0005237690759484243
EC50,4,somol_robust_blend_bucket,01_1_4,01_1_9,2878,0.1752886259094636,0.25524586423787293,0.07814936425787042,-0.014617118686491602
EC50,4,somol_robust_blend_bucket,01_1_4,02_10_99,9735,0.42940779957421,0.3960797905096105,0.31277533162380267,-0.015428089879859563
EC50,4,somol_robust_blend_bucket,02_5_19,01_1_9,1515,0.12053396843616901,0.12561803570194074,0.08535653619796675,0.04214785927697802
EC50,4,somol_robust_blend_bucket,02_5_19,02_10_99,35,0.28891274376183784,0.1089261928901524,0.3306122682826724,0.03598736539596631
EC50,4,somol_robust_blend_bucket,03_20_99,01_1_9,256,0.10328325633675779,0.0977816518456133,0.09829759530114945,0.0004207633404713117
EC50,4,somol_robust_blend_bucket,03_20_99,02_10_99,252,0.1271001216871234,0.042742382879090636,0.12499588055079977,-0.006420307873517174
EC50,4,somol_robust_blend_bucket,04_100plus,01_1_9,329,1.0954454699716222e-05,3.30172980715768e-05,0.0,-1.6430837760342426e-06
IC50,3,empirical_delta,01_1_4,01_1_9,7528,0.21828591449629345,0.4182043176511435,0.054889686766108906,-0.002884811941129862
IC50,3,empirical_delta,01_1_4,02_10_99,2263,0.10379291582114078,0.28981787121666014,2.9605947323337506e-16,-0.00956027403310313
IC50,3,empirical_delta,02_5_19,01_1_9,2876,0.07906555849406623,0.1567775600433955,0.014306810588042888,-0.0038214651399554743
IC50,3,empirical_delta,02_5_19,02_10_99,51,0.01776456363809236,0.019119851688785206,0.014012790663658138,0.00386668618307041
IC50,3,empirical_delta,03_20_99,01_1_9,1868,0.018150398510387813,0.05542028537533421,2.6350973986301164e-05,5.776521384414504e-05
IC50,3,empirical_delta,03_20_99,02_10_99,113,0.0010740698898708172,0.004136921393720576,2.9605947323337506e-16,0.000310212775189416
IC50,3,empirical_delta,04_100plus,01_1_9,301,0.0037843107180550108,0.00790784315915956,0.00040345007033633823,0.00036079384913291783
IC50,3,gauge_selector_micro,01_1_4,01_1_9,7528,0.18903861452434667,0.2941431427195861,0.06344192142895239,-0.018355767033886892
IC50,3,gauge_selector_micro,01_1_4,02_10_99,2263,0.06295753418139131,0.16995133037538962,3.138230416273776e-14,-0.006499068502779312
IC50,3,gauge_selector_micro,02_5_19,01_1_9,2876,0.11939323068990387,0.13409364242981742,0.09112225225636372,-0.003879328089230526
