endpoint,seed,feature,level_type,level,n,raw_mae,primary_mae,baseline_mae,graph_mae,delta_baseline_minus_primary,raw_to_primary_gap_closed,primary_shift_abs,baseline_shift_abs
IC50,23,readout_class,transition,enzyme_activity->enzyme_activity,6878,0.32653184339044533,0.16132056964181699,0.16560036843168088,0.16242089828489018,0.004279798789863898,0.5059576182010511,0.25720584438667754,0.2640065045052526
IC50,23,readout_class,transition,enzyme_activity->fluorescence,1783,0.3428120143903504,0.2431846087957015,0.2548115065038618,0.24929735342503934,0.011626897708160305,0.29061818551436763,0.1673508772444538,0.18040670139173248
IC50,23,readout_class,transition,enzyme_activity->htrf_alphascreen,177,0.6018487257887932,0.274820106547067,0.2867739504202848,0.27666220896037913,0.011953843873217795,0.5433734512158631,0.47964182496327706,0.48819821177908507
IC50,23,readout_class,transition,enzyme_activity->luminescence,145,0.8075489284514837,0.37696274471826946,0.4046753555062266,0.3919177167002508,0.027712610787957115,0.5332013560576264,0.6197218616575193,0.646207997799928
IC50,23,readout_class,transition,enzyme_activity->mass_spec,93,0.08205847909391781,0.044249509211586074,0.051916504467831734,0.04716558101028606,0.0076669952562456595,0.4607564056733065,0.060174083929028864,0.0766532722084263
IC50,23,readout_class,transition,enzyme_activity->not_extracted,820,0.6081037084489995,0.4454609860545296,0.46055839643856283,0.45746422447847956,0.015097410384033227,0.26745885633438865,0.284396637986595,0.3029043504540173
IC50,23,readout_class,transition,enzyme_activity->radio,175,0.2880103202461656,0.20446622169445472,0.2079722626353006,0.20321998406226205,0.0035060409408458892,0.29007328098626745,0.17572365566691853,0.1639225576121685
IC50,23,readout_class,transition,fluorescence->absorbance_color,215,0.4952247657190698,0.2728005528484557,0.23951455632328214,0.2513497150298998,-0.03328599652517358,0.44913790316534874,0.2739435116596473,0.3519613380492037
IC50,23,readout_class,transition,fluorescence->binding,31,0.26843755837089106,0.17586665688828423,0.1719580603535399,0.1689599161928415,-0.003908596534744346,0.3448507803617583,0.11932736060274776,0.14617452566648462
IC50,23,readout_class,transition,fluorescence->cell_viability,360,1.476736516459414,0.35461827110879807,0.3523329940937673,0.35323972371643414,-0.0022852770150307844,0.7598635456249013,1.4677087424387991,1.4712967590480421
IC50,23,readout_class,transition,fluorescence->enzyme_activity,1783,0.3428120143903504,0.24492934116763,0.25679936878596965,0.25109097559779053,0.011870027618339662,0.285528712862625,0.16583446493489687,0.17858941948587792
IC50,23,readout_class,transition,fluorescence->fluorescence,17148,0.27665894704165817,0.1142287950804171,0.11463697046003789,0.11513661401612452,0.00040817537962078987,0.5871133165875275,0.23063654547788362,0.23548380667828162
IC50,23,readout_class,transition,fluorescence->htrf_alphascreen,299,0.35297652264121065,0.13590522483759143,0.13632603132006735,0.13455419763025345,0.0004208064824759161,0.6149737557029119,0.28509715980331624,0.293606049852698
IC50,23,readout_class,transition,fluorescence->luminescence,246,0.8341343987429611,0.47909437532190796,0.5265247147938769,0.4905848220733731,0.047430339471968896,0.4256388706137737,0.6445734353730594,0.6754281153659685
IC50,23,readout_class,transition,fluorescence->mass_spec,163,1.4624504514002554,0.3540623028448687,0.35513446868636095,0.3541118395286717,0.001072165841492223,0.7578979154433138,1.4549861469720244,1.457040684060521
IC50,23,readout_class,transition,fluorescence->not_extracted,1100,0.6095346710447265,0.4037863622964413,0.4148439153383891,0.40391516920759507,0.011057553041947776,0.33754980400973406,0.35719442160438214,0.3715360861126921
IC50,23,readout_class,transition,fluorescence->radio,432,0.38613188800176734,0.2824093760227941,0.28665877776224064,0.2806056051946575,0.0042494017394465455,0.2686193893898204,0.22702576923396584,0.22514198170676603
