dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,KD,external_somol_gauge,single_chain_target,5,58.4,0.3446481513456,0.11111217697366477,0.607794295810223,-4.8399332979447e-18
BindingDB_Articles_202608,KD,external_somol_guarded_stack,all,5,58.4,0.3326207752837571,0.09305024113951721,0.5791608555298076,1.3745618400120986e-17
BindingDB_Articles_202608,KD,external_somol_guarded_stack,both_assays_seen,5,41.2,0.20795143041727795,0.04502359950466156,0.40277899502715825,1.74944234183358e-17
BindingDB_Articles_202608,KD,external_somol_guarded_stack,cold_assay_pair,5,28.0,0.541683673478223,0.07822710282224891,0.7805734330291516,3.835315903250541e-17
BindingDB_Articles_202608,KD,external_somol_guarded_stack,cold_dst_assay,5,14.8,0.5281403006928207,0.22342395253231362,0.7750709980000561,0.029121495589882584
BindingDB_Articles_202608,KD,external_somol_guarded_stack,seen_assay_pair,5,30.4,0.1578920320308542,0.04849880836102302,0.33153592687122835,-1.6326809185664071e-19
BindingDB_Articles_202608,KD,external_somol_guarded_stack,single_chain_target,5,58.4,0.3326207752837571,0.09305024113951721,0.5791608555298076,1.3745618400120986e-17
BindingDB_Articles_202608,KD,identity_bias,all,5,58.4,0.34531615115076286,0.12351455466877181,0.5989311598902173,0.0
BindingDB_Articles_202608,KD,identity_bias,both_assays_seen,5,41.2,0.2310255214792873,0.044802332739368,0.45990617316963806,0.0
BindingDB_Articles_202608,KD,identity_bias,cold_assay_pair,5,28.0,0.48097740067873473,0.17579312663298555,0.715923186343233,0.0
BindingDB_Articles_202608,KD,identity_bias,cold_dst_assay,5,14.8,0.5362461655570725,0.2209885971396051,0.791904209275398,0.05216640044520025
BindingDB_Articles_202608,KD,identity_bias,seen_assay_pair,5,30.4,0.21134198740121252,0.03811881113959353,0.4466649340603165,0.0
BindingDB_Articles_202608,KD,identity_bias,single_chain_target,5,58.4,0.34531615115076286,0.12351455466877181,0.5989311598902173,0.0
BindingDB_Articles_202608,KD,pair_mean_bias_fallback,all,5,58.4,0.30781110857402605,0.11273001974568185,0.5519584783612316,5.022437492351898e-18
BindingDB_Articles_202608,KD,pair_mean_bias_fallback,both_assays_seen,5,41.2,0.1748049024887249,0.03453107462021431,0.35762363223356874,8.522924229445646e-18
BindingDB_Articles_202608,KD,pair_mean_bias_fallback,cold_assay_pair,5,28.0,0.48097740067873473,0.17579312663298555,0.715923186343233,0.0
BindingDB_Articles_202608,KD,pair_mean_bias_fallback,cold_dst_assay,5,14.8,0.5362461655570725,0.2209885971396051,0.791904209275398,0.05216640044520025
BindingDB_Articles_202608,KD,pair_mean_bias_fallback,seen_assay_pair,5,30.4,0.132208990317491,0.03531584144408381,0.2962097072651314,1.0612425970681644e-17
BindingDB_Articles_202608,KD,pair_mean_bias_fallback,single_chain_target,5,58.4,0.30781110857402605,0.11273001974568185,0.5519584783612316,5.022437492351898e-18
BindingDB_Articles_202608,KD,robust_trimmed_bias_fallback,all,5,58.4,0.30635148430699377,0.11285312062038491,0.551987539648638,3.1720657846433043e-18
BindingDB_Articles_202608,KD,robust_trimmed_bias_fallback,both_assays_seen,5,41.2,0.17276261666884296,0.03459271499631141,0.3576903190472156,6.0557619525008536e-18
BindingDB_Articles_202608,KD,robust_trimmed_bias_fallback,cold_assay_pair,5,28.0,0.48097740067873473,0.17579312663298555,0.715923186343233,0.0
BindingDB_Articles_202608,KD,robust_trimmed_bias_fallback,cold_dst_assay,5,14.8,0.5362461655570725,0.2209885971396051,0.791904209275398,0.05216640044520025
BindingDB_Articles_202608,KD,robust_trimmed_bias_fallback,seen_assay_pair,5,30.4,0.12956274138916374,0.03581051038975653,0.2963264378378955,7.836868409118752e-18
