endpoint,seed,support_bucket,nominal_coverage,empirical_coverage,mean_interval_width,mean_abs_resid,n
KI,29,all,0.95,0.9280562436252368,1.8290994331369566,0.19763364528022898,27452
KI,31,00_zero,0.5,0.31068322057839565,0.0,0.1706631185959204,26902
KI,31,00_zero,0.8,0.8369637945134191,0.1570458276439376,0.1706631185959204,26902
KI,31,00_zero,0.9,0.8804549847594975,1.1126050015345754,0.1706631185959204,26902
KI,31,00_zero,0.95,0.9319753178202365,2.523144945925296,0.1706631185959204,26902
KI,31,01_1-4,0.5,0.762046485260771,0.1868433703244694,0.14598168151692245,7056
KI,31,01_1-4,0.8,0.9231859410430839,1.3720122945305668,0.14598168151692245,7056
KI,31,01_1-4,0.9,0.9722222222222222,2.3862491967089223,0.14598168151692245,7056
KI,31,01_1-4,0.95,0.9722222222222222,2.3862491967089277,0.14598168151692245,7056
KI,31,02_5-9,0.5,0.6934720908230843,0.1399921727416995,0.15513671024771644,2114
KI,31,02_5-9,0.8,0.8713339640491958,0.6034903588813014,0.15513671024771644,2114
KI,31,02_5-9,0.9,0.9266792809839167,1.080464023641614,0.15513671024771644,2114
KI,31,02_5-9,0.95,0.9432355723746452,1.5352434687332672,0.15513671024771644,2114
KI,31,03_10-29,0.5,0.4863985807214666,0.047719819888471626,0.1710574456084688,13528
KI,31,03_10-29,0.8,0.8262862211709048,0.2813171204316607,0.1710574456084688,13528
KI,31,03_10-29,0.9,0.9047900650502662,0.8558765098154755,0.1710574456084688,13528
KI,31,03_10-29,0.95,0.9288143110585453,1.548213396759543,0.1710574456084688,13528
KI,31,04_30plus,0.5,0.49429012345679013,0.0005564947550062982,0.07045578378813987,6480
KI,31,04_30plus,0.8,0.7947530864197531,0.01798639396668524,0.07045578378813987,6480
KI,31,04_30plus,0.9,0.8925925925925926,0.36012973668828846,0.07045578378813987,6480
KI,31,04_30plus,0.95,0.9433641975308642,1.0237856693718685,0.07045578378813987,6480
KI,31,all,0.5,0.4073823109843081,0.0025432193336021314,0.15548865138824966,56080
KI,31,all,0.8,0.8499643366619115,0.35579258659819324,0.15548865138824966,56080
KI,31,all,0.9,0.902799572039943,1.114687787464005,0.15548865138824966,56080
KI,31,all,0.95,0.951123395149786,2.386238367653549,0.15548865138824966,56080
KD,13,00_zero,0.5,0.3076923076923077,0.27765949497300824,0.729949800097523,26
KD,13,00_zero,0.8,0.3076923076923077,0.7358793503934011,0.729949800097523,26
KD,13,00_zero,0.9,0.38461538461538464,1.045376136286419,0.729949800097523,26
KD,13,00_zero,0.95,0.46153846153846156,1.353781495778339,0.729949800097523,26
KD,13,01_1-4,0.5,0.5869565217391305,0.7397010693920656,0.4834357574734438,46
KD,13,01_1-4,0.8,0.7391304347826086,1.4248842857877853,0.4834357574734438,46
KD,13,01_1-4,0.9,0.782608695652174,1.5439322235805333,0.4834357574734438,46
KD,13,01_1-4,0.95,0.782608695652174,1.726174648844498,0.4834357574734438,46
