endpoint,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,micro,5,0.25346402373412397,0.08709436347476045,0.8623278512501293,0.27984086438158357,-0.02219113663719928,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_target,5,0.48723292589057243,0.07048047711239598,0.7055622487668941,0.11249764919358628,-0.048904561253325,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_assay_pair,5,0.7612884376037199,0.20799318903933506,0.7897893680813644,0.21598642943770743,-0.09794703850377028,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,micro,5,0.21106536247653965,0.061885253521003304,0.5775053199611968,0.16177587425381823,-0.0008314618390864601,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_target,5,0.3617274393012355,0.022010674298629636,0.4739739887819332,0.03136047304257623,0.0008199446082641403,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_assay_pair,5,0.5966558887492157,0.1355330088301923,0.619327102317804,0.1332494930180719,-0.0019121270087220997,6882.4,1518.4
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_ridge_delta,micro,5,0.355319841755844,0.05645879507330109,0.736934114596968,0.13661833749702146,9.587950318271373e-08,6882.4,1.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_ridge_delta,macro_target,5,0.5497324849492123,0.03606168866093068,0.6568103199388167,0.04105336948152694,1.7297747373426088e-07,6882.4,115.0
EC50,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_ridge_delta,macro_assay_pair,5,0.6904320067196424,0.11235524118808671,0.7144688169260645,0.11080819399827257,-1.1948778387624e-07,6882.4,1518.4
EC50,ours,ours_main_same_split,gauge_calibration_selector,micro,5,0.1686048907169561,0.02925975388070197,0.42962639613008075,0.09050075638330654,-0.00115023921352058,6882.4,1.0
EC50,ours,ours_main_same_split,gauge_calibration_selector,macro_target,5,0.28662578264737953,0.026238618625976255,0.37967604680770617,0.03983912496064049,0.0025793932657529202,6882.4,115.0
EC50,ours,ours_main_same_split,gauge_calibration_selector,macro_assay_pair,5,0.4299213447155372,0.06557927196055241,0.45249776586272344,0.06851779399987226,-0.00461629503583578,6882.4,1518.4
EC50,ours,ours_main_same_split,gauge_calibration_selector_micro,micro,5,0.1686048907169561,0.02925975388070197,0.42962639613008075,0.09050075638330654,-0.00115023921352058,6882.4,1.0
EC50,ours,ours_main_same_split,gauge_calibration_selector_micro,macro_target,5,0.28662578264737953,0.026238618625976255,0.37967604680770617,0.03983912496064049,0.0025793932657529202,6882.4,115.0
EC50,ours,ours_main_same_split,gauge_calibration_selector_micro,macro_assay_pair,5,0.4299213447155372,0.06557927196055241,0.45249776586272344,0.06851779399987226,-0.00461629503583578,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_gauge_graph_blend,micro,5,0.16980626028685247,0.032365691542466705,0.43515469423399916,0.09163400106607358,-0.0005150306142014399,6882.4,1.0
EC50,ours,ours_main_same_split,somol_gauge_graph_blend,macro_target,5,0.28292457098550533,0.027202370202107338,0.376891802189464,0.041541162337824226,0.00246954072792126,6882.4,115.0
EC50,ours,ours_main_same_split,somol_gauge_graph_blend,macro_assay_pair,5,0.4348603542115469,0.06764680162239965,0.4576417671179421,0.06974411424487327,-0.0037983898043958604,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_gauge_graph_blend_micro,micro,5,0.16980626028685247,0.032365691542466705,0.43515469423399916,0.09163400106607358,-0.0005150306142014399,6882.4,1.0
EC50,ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_target,5,0.28292457098550533,0.027202370202107338,0.376891802189464,0.041541162337824226,0.00246954072792126,6882.4,115.0
EC50,ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_assay_pair,5,0.4348603542115469,0.06764680162239965,0.4576417671179421,0.06974411424487327,-0.0037983898043958604,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_guarded_stack,micro,5,0.167919571104386,0.029779561332595524,0.42882380312955776,0.08702626790333859,-0.0014090571647142201,6882.4,1.0
EC50,ours,ours_main_same_split,somol_guarded_stack,macro_target,5,0.27962730426422144,0.026671476962896228,0.37347912131393046,0.03982695021432241,0.00083026229013598,6882.4,115.0
EC50,ours,ours_main_same_split,somol_guarded_stack,macro_assay_pair,5,0.4277277112907276,0.06093400646053762,0.45037133346468794,0.06387317930747592,-0.007329622656631521,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_guarded_stack_micro,micro,5,0.167919571104386,0.029779561332595524,0.42882380312955776,0.08702626790333859,-0.0014090571647142201,6882.4,1.0
