endpoint,seed,filter,n,primary_mae,baseline_mae,delta_baseline_minus_primary
KI,17,pair_support_ge_10,16346,0.15773249189472666,0.17640417499553587,0.018671683100809217
KI,17,pair_support_ge_20,14054,0.1372605710062883,0.1537950976371906,0.016534526630902296
KI,23,all,51378,0.16849150312007186,0.170928419010272,0.0024369158902001475
KI,23,activity_in_2_12,51100,0.16593215898893016,0.1688123857231119,0.0028802267341817567
KI,23,no_data_validity_comment,50404,0.15483501633433913,0.15815427536526577,0.003319259030926641
KI,23,no_potential_duplicate_flag,1944,0.3818683488530555,0.3801879186631779,-0.0016804301898775686
KI,23,publication_only,44254,0.18406572368925617,0.18693576498769937,0.0028700412984432044
KI,23,target_confidence_9,51378,0.16849150312007186,0.170928419010272,0.0024369158902001475
KI,23,single_protein_target,51378,0.16849150312007186,0.170928419010272,0.0024369158902001475
KI,23,assay_n_ge_50,6358,0.0686834052055917,0.06854810281938321,-0.00013530238620848567
KI,23,assay_n_ge_100,5112,0.07235062477101367,0.07225307172166917,-9.755304934450093e-05
KI,23,pair_support_ge_5,18410,0.17165349266442306,0.1731439246170868,0.00149043195266374
KI,23,pair_support_ge_10,16692,0.16926130200767026,0.1696691027392448,0.0004078007315745369
KI,23,pair_support_ge_20,14360,0.15957606831937468,0.1601769463533735,0.0006008780339988307
KI,29,all,27452,0.19763364528022898,0.21278248285828943,0.015148837578060459
KI,29,activity_in_2_12,27034,0.19510610213785962,0.2092837633732676,0.014177661235407979
KI,29,no_data_validity_comment,26510,0.19160634048426411,0.21091272836797556,0.019306387883711446
KI,29,no_potential_duplicate_flag,1958,0.352628559943842,0.3532255168324752,0.0005969568886332044
KI,29,publication_only,19594,0.24748643020244476,0.2686709010410117,0.02118447083856695
KI,29,target_confidence_9,27452,0.19763364528022898,0.21278248285828943,0.015148837578060459
KI,29,single_protein_target,27452,0.19763364528022898,0.21278248285828943,0.015148837578060459
KI,29,assay_n_ge_50,7062,0.06785836234171617,0.06798883804588075,0.00013047570416457877
KI,29,assay_n_ge_100,5748,0.07402468010709891,0.0740147299660552,-9.950141043713057e-06
KI,29,pair_support_ge_5,21366,0.1522254494876431,0.16968141141552234,0.017455961927879238
KI,29,pair_support_ge_10,19648,0.13955138514745286,0.1580038786184456,0.01845249347099273
KI,29,pair_support_ge_20,13146,0.08217569360881863,0.09535455089074917,0.013178857281930537
KI,31,all,56080,0.15548865138824966,0.15712434217079208,0.001635690782542415
KI,31,activity_in_2_12,55834,0.15217113810381133,0.1537959501798668,0.0016248120760554707
