scenario,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_gauge_graph_blend_micro,micro,20,0.528101304482729,0.29406608854888405,0.7783129770402947,0.34394230286967586,0.045445822976425396,5189.8,1.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_assay_pair,20,0.5285758474711686,0.2971448910396658,0.5293642358015808,0.2973288393448791,0.04545752871798396,5189.8,5100.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_guarded_stack_micro,macro_target,20,0.4472592574424804,0.15797172743478305,0.5225289873817296,0.16957010823482638,0.030581784041183314,5189.8,76.4
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_guarded_stack_micro,micro,20,0.5048142528897089,0.2501411205692798,0.7548282547207795,0.29153351007731665,0.021691808944448485,5189.8,1.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_guarded_stack_micro,macro_assay_pair,20,0.5050862175139257,0.2529915783752238,0.5058811815447901,0.25319646882503516,0.02161888689339067,5189.8,5100.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_robust_blend_bucket,macro_target,20,0.4474509815401329,0.157786790655875,0.5228528869893572,0.16931833177744401,0.030581784041183308,5189.8,76.4
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_robust_blend_bucket,micro,20,0.5047929384398793,0.2502962225099174,0.7557732145975731,0.291198049728974,0.021691808944448485,5189.8,1.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_robust_blend_bucket,macro_assay_pair,20,0.5050666411244182,0.2531489118831238,0.5058616703773787,0.25335370078285063,0.02161888689339067,5189.8,5100.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_stack_micro,macro_target,20,0.4674581625195704,0.24798030334809162,0.540730123102163,0.2558163638205779,0.05351920591552097,5189.8,76.4
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_stack_micro,micro,20,0.5201960346372626,0.2862928460001715,0.7692420697763116,0.32789069756453987,0.03936132040098407,5189.8,1.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_stack_micro,macro_assay_pair,20,0.5204384501505583,0.2887578022906412,0.5212120074329561,0.28890835944823784,0.039278139965064254,5189.8,5100.0
direct_pair_cold_start_zero,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_target,20,0.4751776737441215,0.25113436232165137,0.5464570459858054,0.25942074299881884,0.048126841029202325,5189.8,76.4
direct_pair_cold_start_zero,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,micro,20,0.5295784561093129,0.29437883689229893,0.7734266302626069,0.35019756167243055,0.03862579007388787,5189.8,1.0
direct_pair_cold_start_zero,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_assay_pair,20,0.5301692271824286,0.29734287595634296,0.5310803948288105,0.29751096523229126,0.03898157851941315,5189.8,5100.0
direct_pair_low_support_1_4,classic,ours_rerun_same_split,identity_bias,macro_target,20,0.3096801826005911,0.07374525170424528,0.36700022961476764,0.07518543527606066,-1.1144825695705908e-18,1914.6,89.0
direct_pair_low_support_1_4,classic,ours_rerun_same_split,identity_bias,micro,20,0.3847237503908651,0.12721292539559015,0.6672598448881558,0.16026379309437924,-4.874919701976556e-18,1914.6,1.0
direct_pair_low_support_1_4,classic,ours_rerun_same_split,identity_bias,macro_assay_pair,20,0.3968066200099367,0.130430170995578,0.40284469443218623,0.1317910779586818,-3.694257825017528e-18,1914.6,1625.4
direct_pair_low_support_1_4,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_target,20,0.3096801826005911,0.07374525170424528,0.36700022961476764,0.07518543527606066,-1.1144825695705908e-18,1914.6,89.0
direct_pair_low_support_1_4,classic,ours_rerun_same_split,pair_affine_bias_fallback,micro,20,0.3847237503908651,0.12721292539559015,0.6672598448881558,0.16026379309437924,-4.874919701976556e-18,1914.6,1.0
direct_pair_low_support_1_4,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_assay_pair,20,0.3968066200099367,0.130430170995578,0.40284469443218623,0.1317910779586818,-3.694257825017528e-18,1914.6,1625.4
direct_pair_low_support_1_4,classic,ours_rerun_same_split,pair_isotonic,macro_target,20,0.5663976163855057,0.1596725106413727,0.6361645068697324,0.1639986912978551,0.03790293747711036,1914.6,89.0
direct_pair_low_support_1_4,classic,ours_rerun_same_split,pair_isotonic,micro,20,0.5787638570434877,0.13358942154693174,0.827742754205981,0.12653820812238667,0.028229793065225738,1914.6,1.0
